,Player,Image,Link
41,Shubman Gill,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/3761
42,Ajinkya Rahane,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=4,https://www.iplt20.com/teams/chennai-super-kings/squad-details/135
43,Axar Patel,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/1113
44,Jitesh Sharma,https://scores.iplt20.com/ipl/playerimages/Jitesh Sharma.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/3185
45,Ramandeep Singh,https://scores.iplt20.com/ipl/playerimages/Ramandeep Singh.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20595
46,Hardik Pandya,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/2740
47,Ishan Kishan,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/2975
48,Shai Hope,https://scores.iplt20.com/ipl/playerimages/Shai Hope.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/20710
49,David Miller,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/187
50,Ravindra Jadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=4,https://www.iplt20.com/teams/chennai-super-kings/squad-details/9
51,Glenn Maxwell,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=4,https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/282
52,Ravichandran Ashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/8
53,Yashasvi Jaiswal,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/13538
54,Rinku Singh,https://scores.iplt20.com/ipl/playerimages/Rinku Singh.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3830
55,Azmatullah Omarzai,https://scores.iplt20.com/ipl/playerimages/Azmatullah Omarzai.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/20685
56,Rahul Tewatia,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/1749
57,Deepak Hooda,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1556
58,Jos Buttler,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/509
59,Shashank Singh,https://scores.iplt20.com/ipl/playerimages/Shashank Singh.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/3261
60,Rajat Patidar,https://scores.iplt20.com/ipl/playerimages/Rajat Patidar.png?v=4,https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5471
